movieId,tagId,relevance
1,1,0.03199999999999997
1,2,0.022249999999999992
1,3,0.07
1,4,0.059
1,5,0.123
1,6,0.131
1,7,0.06175000000000003
1,8,0.1955
1,9,0.26625
1,10,0.032999999999999974
1,11,0.568
1,12,0.137
1,13,0.249
1,14,0.006500000000000006
1,15,0.02174999999999999
1,16,0.17975000000000002
1,17,0.014000000000000012
1,18,0.07574999999999998
1,19,0.65925
1,20,0.3025
1,21,0.2985
1,22,0.26775000000000004
1,23,0.04899999999999999
1,24,0.015249999999999986
1,25,0.07800000000000001
1,26,0.07524999999999998
1,27,0.23375
1,28,0.07224999999999998
1,29,0.8947499999999999
1,30,0.6765
1,31,0.035750000000000004
1,32,0.15100000000000002
1,33,0.34624999999999995
1,34,0.049750000000000016
1,35,0.036250000000000004
1,36,0.16199999999999998
1,37,0.10449999999999998
1,38,0.01150000000000001
1,39,0.017000000000000015
1,40,0.01150000000000001
1,41,0.013500000000000012
1,42,0.03325
1,43,0.30674999999999997
1,44,0.01974999999999999
1,45,0.30025
1,46,0.18125000000000002
1,47,0.00874999999999998
1,48,0.14150000000000001
1,49,0.277
1,50,0.1285
1,51,0.274
1,52,0.14725
1,53,0.181
1,54,0.21350000000000002
1,55,0.25249999999999995
1,56,0.01050000000000001
1,57,0.02124999999999999
1,58,0.04075000000000001
1,59,0.09825
1,60,0.03225
1,61,0.62225
1,62,0.5755
1,63,0.956
1,64,0.9862500000000001
1,65,0.22399999999999998
1,66,0.02174999999999999
1,67,0.12425000000000003
1,68,0.03475
1,69,0.016749999999999987
1,70,0.057750000000000024
1,71,0.014749999999999985
1,72,0.01924999999999999
1,73,0.0685
1,74,0.01150000000000001
1,75,0.22775
1,76,0.017249999999999988
1,77,0.058750000000000024
1,78,0.05499999999999999
1,79,0.31899999999999995
1,80,0.025749999999999995
1,81,0.07924999999999999
1,82,0.10899999999999999
1,83,0.043999999999999984
1,84,0.268
1,85,0.07574999999999998
1,86,0.42174999999999996
1,87,0.046999999999999986
1,88,0.005249999999999977
1,89,0.006249999999999978
1,90,0.05475000000000002
1,91,0.03375
1,92,0.02124999999999999
1,93,0.37649999999999995
1,94,0.37075
1,95,0.07150000000000001
1,96,0.08024999999999999
1,97,0.069
1,98,0.046999999999999986
1,99,0.09425
1,100,0.09749999999999998
