userId,movieId,tag,timestamp
10,260,good vs evil,1430666558
10,260,Harrison Ford,1430666505
10,260,sci-fi,1430666538
14,1221,Al Pacino,1311600756
14,1221,mafia,1311600746
14,58559,Atmospheric,1311530439
14,58559,Batman,1311530391
14,58559,comic book,1311530398
14,58559,dark,1311530428
14,58559,Heath Ledger,1311530404
14,58559,imdb top 250,1311530451
14,58559,Michael Caine,1311530407
14,58559,Morgan Freeman,1311530400
14,58559,Oscar (Best Supporting Actor),1311530432
14,58559,psychology,1311530417
14,58559,superhero,1311530388
14,58559,vigilante,1311530423
14,58559,violence,1311530444
16,57183,family,1491353765
26,296,crime,1429398919
